"Time_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
        107,        0.08990461,       -6.66301702,      -3.643315869,      -3.989312352,      -1.339703132,          6383.475,     0.01622521785,       1.101651188,                 0,                 0,                 0,     0.03379799332,     -0.1753210009,        1.08773211,                 0,       67.89746663
        108,        0.09074484,      -6.634275927,      -3.601758119,      -3.948281411,      -1.299751219,          6383.475,        0.01699343,       1.107185131,                 0,                 0,                 0,      0.0341982303,     -0.1755254188,        1.09331538,                 0,       65.15371715
        109,        0.09158507,      -6.608293156,      -3.564313991,      -3.911600793,      -1.263732449,          6383.475,     0.01778282884,       1.112992273,                 0,                 0,                 0,      0.0345786925,     -0.1757564122,       1.099171375,                 0,       62.58803268
        110,         0.0924253,      -6.575439875,      -3.522113583,      -3.866665514,      -1.223646281,          6383.475,     0.01859242542,       1.119063438,                 0,                 0,                 0,     0.03493987616,      -0.176013362,       1.105290891,                 0,       60.18921216
        111,        0.09326553,      -6.554023817,      -3.490467141,      -3.836035372,      -1.193131318,          6383.475,     0.01942016759,        1.12538786,                 0,                 0,                 0,     0.03528135861,     -0.1762964195,       1.111662967,                 0,       57.94944123
        112,        0.09410576,      -6.534312231,      -3.461186059,      -3.807984839,      -1.164807853,          6383.475,     0.02026463967,       1.131954161,                 0,                 0,                 0,     0.03560296036,     -0.1766050031,       1.118276152,                 0,       55.85858815
        113,        0.09494599,      -6.514124747,      -3.430436021,      -3.777568693,      -1.132836009,          6383.475,     0.02112457645,       1.138750166,                 0,                 0,                 0,     0.03590436152,     -0.1769382445,       1.125118237,                 0,       53.90641413
        114,        0.09578622,      -6.497375226,      -3.405343976,      -3.753499638,      -1.108114197,          6383.475,     0.02199774791,       1.145761809,                 0,                 0,                 0,     0.03618425074,     -0.1772958976,       1.132174982,                 0,       52.08541412
        115,        0.09662645,      -6.481910648,        -3.3821269,      -3.731457775,      -1.085123875,          6383.475,     0.02288196462,       1.152974567,                 0,                 0,                 0,     0.03644128032,     -0.1776775962,       1.139431704,                 0,       50.38791843
        116,        0.09746668,      -6.467839896,      -3.360786297,      -3.711310555,      -1.063883808,          6383.475,     0.02377503217,        1.16037372,                 0,                 0,                 0,     0.03667448885,     -0.1780829459,       1.146873527,                 0,       48.80639959
        117,        0.09830691,      -6.455111698,      -3.341123868,      -3.692845359,       -1.04421394,          6383.475,     0.02467463735,       1.167944656,                 0,                 0,                 0,       0.036883361,      -0.178511687,       1.154485659,                 0,       47.33381244
        118,        0.09914714,      -6.443646489,      -3.322972305,      -3.675944941,      -1.025966042,          6383.475,     0.02557838534,       1.175672873,                 0,                 0,                 0,     0.03706773018,     -0.1789636598,       1.162253401,                 0,       45.96352967
