"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
199, 6.168375916970614e-05, 2.324049682471871e-03, 1.272973505566670e+00, 2.686421259561623e+00, 5.044006186383174e+01, 2.682630357716504e+05
200, 0.000000000000000e+00, 0.000000000000000e+00, 1.275636515733153e+00, 2.959017241632997e-12, 4.113207873462693e+01, 2.687267727325701e+05
201, 6.168375916970614e-05, -2.324049682471871e-03, 1.278131337688927e+00, -1.680320189799742e+00, 3.154957697833280e+01, 2.691740647212950e+05
202, 2.467198171342000e-04, -4.632394415062752e-03, 1.280188870261737e+00, -2.296393507245319e+00, 2.141406217747488e+01, 2.695473917036665e+05
203, 5.550625190149927e-04, -6.924848024320567e-03, 1.280980686725656e+00, -1.818467707331867e+00, 1.122859754888101e+01, 2.696767489630441e+05
204, 9.866357858642205e-04, -9.201196269151387e-03, 1.282533787138704e+00, -4.318295153007832e-02, 1.986198695470047e-01, 2.699892710516207e+05
205, 1.541333133436018e-03, -1.146119706563500e-02, 1.280826950779754e+00, 2.566734570626268e+00, -9.379391757572302e+00, 2.696405032783831e+05
206, 2.219017698460002e-03, -1.370458079728340e-02, 1.280607310279977e+00, 6.162945141158494e+00, -1.863595264757940e+01, 2.696266991926327e+05
207, 3.019522272410147e-03, -1.593105070981411e-02, 1.279094195609359e+00, 1.039054863367520e+01, -2.673969444617726e+01, 2.693571051884263e+05
208, 3.942649342761062e-03, -1.814028338925154e-02, 1.277203414803110e+00, 1.524944376574460e+01, -3.408985317861666e+01, 2.690231529025100e+05
209, 4.988171141721232e-03, -2.033192932191168e-02, 1.274489628851659e+00, 2.056525734347455e+01, -4.056340796428502e+01, 2.685277095797215e+05
210, 6.155829702431115e-03, -2.250561353457577e-02, 1.272066150097546e+00, 2.639115793796669e+01, -4.649564473940035e+01, 2.681067007666184e+05
211, 7.445336922613066e-03, -2.466093631291550e-02, 1.269271121130979e+00, 3.221566632754092e+01, -5.119897945344505e+01, 2.676091552767766e+05
212, 8.856374635655639e-03, -2.679747399598897e-02, 1.266215056538165e+00, 3.847605402600286e+01, -5.560882753742975e+01, 2.670698802279747e+05
